title,artist,year,duration,group
9pm ('t,ill,1999,270,band
a little bit,pandora,1999,209,pop
absolutely everybody,vanessa amorosi,1999,220,pop
all star,smash mouth,1999,236,band
all torn down,the living end,1999,249,band
american woman,lenny kravitz,1999,262,band
ana's song (open fire),silverchair,1999,222,band
angel of mine,monica,1999,250,urban
anthem for the year 2000,silverchair,1999,233,band
"baby did a bad, bad thing",chris isaak,1999,208,band
"baby, one more time",britney spears,1999,205,pop
bailamos,enrique iglesias,1999,233,pop
beautiful stranger,madonna,1999,238,pop
believe,cher,1999,236,pop
blue (da ba dee),eiffel 65,1999,280,pop
boom boom boom boom!,vengaboys,1999,202,electronic
bring it all back,s club,1999,209,pop
can't take my eyes off you / doo wop (that thing),lauryn hill,1999,237,urban
don't call me baby,madison avenue (aust),1999,224,electronic
don't cry,human nature,1999,223,pop
eternal flame / shake you outta my head,human nature,1999,378,pop
every morning,sugar ray,1999,220,pop
everywhere you go,taxiride,1999,212,pop
fly away,lenny kravitz,1999,183,band
forever,tina cousins,1999,241,electronic
freak on a leash,korn,1999,222,band
genie in a bottle,christina aguilera,1999,257,pop
get set,taxiride,1999,165,pop
goodbye,spice girls,1999,275,pop
got the feeling,five,1999,231,pop
got the life,korn,1999,240,band
have a look,vanessa amorosi,1999,219,pop
have you ever?,brandy,1999,215,urban
heartbreak hotel,whitney houston,1999,262,pop
heartbreaker,mariah carey,1999,411,pop
honey to the bee,billie,1999,301,pop
how deep is your love,dru hill,1999,230,urban
